Accession,Species,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Collection_Date
KP143511,Alphacoronavirus 1,GenBank,complete,United Kingdom,,Felis catus,2013-01-01
MF769441,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769426,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769432,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
KU646831,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
MT663548,Bat alphacoronavirus,GenBank,complete,Peru,,Desmodus rotundus,2015
LC053455,Porcine epidemic diarrhea virus,GenBank,complete,Thailand,,,2010-01
HM776941,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2009
NC_034972,Coronavirus AcCoV-JC34,RefSeq,complete,China,,Apodemus chevrieri,2011-10
KX964649,Coronavirus AcCoV-JC34,GenBank,complete,China,,Apodemus chevrieri,2011-10
DQ445911,Human coronavirus NL63,GenBank,complete,Netherlands,,,
DQ445912,Human coronavirus NL63,GenBank,complete,Netherlands,,,
MK559456,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018
MK559455,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014
MK559454,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014
JX435306,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JN825712,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-04-25
JX435307,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JN825706,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435298,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435308,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435299,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435309,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435300,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435310,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
EU186072,Alphacoronavirus 1,GenBank,complete,USA,,,
LT906582,Porcine epidemic diarrhea virus,GenBank,complete,,,,
KJ473795,Miniopterus bat coronavirus 1,GenBank,complete,China,,Miniopterus fuliginosus,2011
KJ473799,Miniopterus bat coronavirus HKU8,GenBank,complete,China,,Miniopterus fuliginosus,2012
KJ473797,Miniopterus bat coronavirus HKU8,GenBank,complete,China,,Miniopterus fuliginosus,2012
KJ473800,Miniopterus bat coronavirus HKU8,GenBank,complete,China,,Miniopterus fuliginosus,2013
KJ473798,Miniopterus bat coronavirus HKU8,GenBank,complete,China,,Miniopterus fuliginosus,2013
KJ473796,Miniopterus bat coronavirus 1,GenBank,complete,China,,Miniopterus fuliginosus,2012
NC_028811,Myotis ricketti alphacoronavirus Sax-2011,RefSeq,complete,China,,Myotis ricketti,2011
KJ473806,Myotis ricketti alphacoronavirus Sax-2011,GenBank,complete,China,,Myotis ricketti,2011
KJ473810,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,GenBank,complete,China,,Myotis sp.,2013
NC_028833,Nyctalus velutinus alphacoronavirus SC-2013,RefSeq,complete,China,,Nyctalus velutinus,2013
KJ473809,Nyctalus velutinus alphacoronavirus SC-2013,GenBank,complete,China,,Nyctalus velutinus,2013
NC_028814,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,RefSeq,complete,China,,Rhinolophus ferrumequinum,2013
KJ473807,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,GenBank,complete,China,,Rhinolophus ferrumequinum,2013
NC_028824,BtRf-AlphaCoV/YN2012,RefSeq,complete,China,,Rhinolophus ferrumequinum,2012
KJ473808,BtRf-AlphaCoV/YN2012,GenBank,complete,China,,Rhinolophus ferrumequinum,2012
MK211373,Coronavirus BtRs-AlphaCoV/YN2018,GenBank,complete,China,,Cynopterus sphinx,2017-05
MK211369,Coronavirus BtSk-AlphaCoV/GX2018A,GenBank,complete,China,,Scotophilus kuhlii,2017-05
MK211370,Coronavirus BtSk-AlphaCoV/GX2018B,GenBank,complete,China,,Scotophilus kuhlii,2017-05
MK211371,Coronavirus BtSk-AlphaCoV/GX2018C,GenBank,complete,China,,Scotophilus kuhlii,2017-05
MK211372,Coronavirus BtSk-AlphaCoV/GX2018D,GenBank,complete,China,,Scotophilus kuhlii,2017-05
JQ410000,Human coronavirus 229E,GenBank,complete,USA,,Vicugna pacos,2008
JX104161,Human coronavirus NL63,GenBank,complete,"China: Beijing Children's Hospital, Beijing",,Homo sapiens,2008-11-04
JX524171,Human coronavirus NL63,GenBank,complete,China,,Homo sapiens,2009-01-24
MW591993,Alphacoronavirus 1,GenBank,complete,Malaysia,,Homo sapiens,2017
MK606368,Porcine epidemic diarrhea virus,GenBank,complete,China: Hebei,,Sus scrofa,2018-06-24
MK606369,Porcine epidemic diarrhea virus,GenBank,complete,China: Hebei,,Sus scrofa,2018-08-06
JX869043,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-08
JX869044,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-08
JX869045,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-08
JX869046,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-08
KU380331,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-05-01
KX016034,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-01-04
MH581489,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-07-20
KR809885,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-03-18
KT199103,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-06-01
KX981440,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-05
MF346935,Porcine epidemic diarrhea virus,GenBank,complete,China: Jilin province,,Sus scrofa,2016-07
KJ526096,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-04
MF375374,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-05-21
MK140811,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018
MK140812,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018
MK140813,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018
MK140814,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018
KF840537,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-03-04
MN611525,Hipposideros pomona bat coronavirus CHB25,GenBank,complete,China,,Hipposideros larvatus,2018-03
KM887144,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013
MH539766,Rhinolophus bat coronavirus HKU2,GenBank,complete,China,,Sus scrofa,2017-07
MG837011,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-02-21
MG837012,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-01-20
KX791060,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-05-12
KJ020932,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-03
KY928065,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-03
MG772808,Human coronavirus NL63,GenBank,complete,South Korea,,Homo sapiens,2014-11-25
KU558702,Porcine epidemic diarrhea virus,GenBank,complete,USA: CO,CO,Sus scrofa,2013-05-29
KJ777678,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2012-02
MN114121,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-03
LT905450,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT905451,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT906581,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LT906620,Porcine epidemic diarrhea virus,GenBank,complete,,,,
KT253327,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus dromedarius,2014
KT253325,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus dromedarius,2014
KT253324,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus dromedarius,2014
KT253328,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus dromedarius,2014
KT253326,Human coronavirus 229E,GenBank,complete,Saudi Arabia,,Camelus dromedarius,2014
KU291449,Human coronavirus 229E,GenBank,complete,Kenya,,Camelus dromedarius,2015
KX722530,Alphacoronavirus 1,GenBank,complete,Denmark,,Felis catus,2015-02-01
KU215424,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
KU215425,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
KU215420,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
KU215421,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
KU215422,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
KU215426,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
KU215427,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
KU215428,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
KU215423,Alphacoronavirus 1,GenBank,complete,Belgium,,Felis catus,2013
MF769442,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769443,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769444,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
KC461235,Alphacoronavirus 1,GenBank,complete,USA,,Felis catus,2011
KC461237,Alphacoronavirus 1,GenBank,complete,USA,,Felis catus,2011
KC461236,Alphacoronavirus 1,GenBank,complete,USA,,Felis catus,2011
KJ777677,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-02
MT444152,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2019-05-25
MH708895,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-01-18
MK288006,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2011-05-22
NC_030292,Ferret coronavirus,RefSeq,complete,Netherlands,,Mustela putorius,2010
KM347965,Ferret coronavirus,GenBank,complete,Netherlands,,Mustela putorius,2010
MF094681,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,
MF094682,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,
MF094683,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,
MF094684,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,
MG893511,Alphacoronavirus 1,GenBank,complete,Germany,,Felis catus,2012-07
MK644601,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-06-01
MH726362,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-02-08
MH726384,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-02-10
MH726370,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-03-12
MH726385,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-02-10
MH726408,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-08-01
MH107321,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-01-16
MH726374,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-06-07
MH726387,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-02-10
MH726373,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-06-15
MH726393,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-03-10
MH726391,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-07-15
MH726386,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-05-25
MH726364,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-12-13
MH726376,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-03-24
MH726375,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-06-04
MH726363,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-06-22
MH726371,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-01-09
MH726368,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-09-23
MH107322,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-11-05
MH726366,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-06-04
MH726365,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-01-15
MH726367,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-09-17
MH726380,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-06-06
MH726372,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-12-13
MH726377,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-07-11
MH726369,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-08-21
MH726394,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-12-08
MH726395,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-02-06
MH726379,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-07-28
MH726378,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-07-28
MH726396,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-12-07
MH726388,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-02-10
MH726398,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-05-25
MH726397,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-10-20
MH726389,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-02-10
MH726390,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-02-10
MH726401,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-11-27
MH726399,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-09-25
MH726381,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-05-06
MH726392,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-07-02
MH726400,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-04-26
MH726402,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-05-06
MH726382,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-05-18
MH726405,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-12-06
MH726406,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-02-25
MH726383,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-02-27
MH726403,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-02-24
MH726407,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-02-25
MH726404,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-12-17
LR812928,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LR812932,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LR812927,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LR812929,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LR812930,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LR812926,Porcine epidemic diarrhea virus,GenBank,complete,,,,
LR812931,Porcine epidemic diarrhea virus,GenBank,complete,,,,
JX435311,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JN825707,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435312,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JN825708,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435313,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JN825709,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435301,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435314,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011
JX435302,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435315,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435303,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435316,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435304,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435317,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435305,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX435318,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
KT266906,Human coronavirus NL63,GenBank,complete,Haiti,,Homo sapiens,2015-01-16
KU291448,Human coronavirus 229E,GenBank,complete,Germany,,Homo sapiens,2015
MT438697,Human coronavirus 229E,GenBank,complete,"USA: Little Rock, Arkansas",AR,Homo sapiens,2017-02-24
MT438699,Human coronavirus 229E,GenBank,complete,"USA: Little Rock, Arkansas",AR,Homo sapiens,2017-02-27
MT438698,Human coronavirus 229E,GenBank,complete,"USA: Little Rock, Arkansas",AR,Homo sapiens,2017-02-24
MT438700,Human coronavirus 229E,GenBank,complete,"USA: Little Rock, Arkansas",AR,Homo sapiens,2017-01-27
MT438696,Human coronavirus 229E,GenBank,complete,"USA: Albuquerque, New Mexico",NM,Homo sapiens,2016-02-09
KX083668,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2015
MN611521,Scotophilus kuhlii bat coronavirus 512-related,GenBank,complete,China,,Scotophilus kuhlii,2018-03
MT797634,Human coronavirus 229E,GenBank,complete,Hong Kong,,Homo sapiens,2020-01
KY063616,Alphacoronavirus 1,GenBank,complete,China,,Canis lupus familiaris,2016-07-01
KY063617,Alphacoronavirus 1,GenBank,complete,China,,Canis lupus familiaris,2016-07-01
KY063618,Alphacoronavirus 1,GenBank,complete,China,,Canis lupus familiaris,2016-07-01
KP403802,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,
MK690502,Porcine epidemic diarrhea virus,GenBank,complete,China: Heilongjiang,,Sus scrofa,2016-03
MT576083,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2016-03
JN624754,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2010
JN624755,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2010
JN624756,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2010
JN624757,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2010
KX289955,Porcine epidemic diarrhea virus,GenBank,complete,Hungary,,Sus scrofa,2016-03-01
KF468753,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013
KF468754,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013
KF650370,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-05-16
KF650371,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,
KF650372,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,
KF650373,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-06-06
KF650374,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,
KF650375,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,
JX503061,Human coronavirus 229E,GenBank,complete,Italy,,Homo sapiens,2009
KX534206,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-01-05
MH910099,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-01-02
KC109141,Porcine epidemic diarrhea virus,GenBank,complete,China,,,
KY070587,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016
KX534205,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-01-25
KJ662670,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2013-12
KM403155,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014-03
KR873435,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014-11
KR873434,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014-11
KY825240,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2016-01
KY825241,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2016-01
KY825242,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2016-01
KY825243,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2016-01
KR873431,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014-11
KY963963,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2016-03
MH052681,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-03
MH052682,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-07
MH052683,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-11
MH052684,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-12
MH052685,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-12
MH052687,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-06
MH052688,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-05
MH052689,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2017-04
MN971596,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-02
MH243316,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-03
MH243318,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-03
MH243319,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-03
MN816181,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-03
MK032689,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-03
MK032690,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-04
MK032691,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-04
MK032692,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2018-04
